land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,914,Kath. Krankenhaus Hagen gem. GmbH,St.-Josefs-Hospital,Dreieckstraße,17,58097,"Hagen, Westfalen","Dreieckstraße 17 58097 Hagen, Westfalen Germany"
05,914,Kath. Krankenhaus Hagen gem. GmbH,St.-Johannes-Hospital,Hospitalstraße,6-10,58099,"Hagen, Westfalen","Hospitalstraße 6-10 58099 Hagen, Westfalen Germany"
05,914,Kath. Krankenhaus Hagen gem. GmbH,Zentrum für seelische Gesundheit Elsey,Iserlohner Straße,43,58119,"Hagen, Westfalen","Iserlohner Straße 43 58119 Hagen, Westfalen Germany"
05,914,VAMED Klinik Hagen-Ambrock,VAMED Klinik Hagen-Ambrock,Ambrocker Weg,60,58091,"Hagen, Westfalen","Ambrocker Weg 60 58091 Hagen, Westfalen Germany"
05,915,Evangelisches Krankenhaus Hamm gGmbH,Evangelisches Krankenhaus Hamm gGmbH,Werler Straße,110,59063,"Hamm, Westfalen","Werler Straße 110 59063 Hamm, Westfalen Germany"
05,915,Klinik für Manuelle Therapie,Klinik für Manuelle Therapie,Ostenallee,83,59071,"Hamm, Westfalen","Ostenallee 83 59071 Hamm, Westfalen Germany"
05,915,LWL-Universitätsklinik Hamm der Ruhr-Universität Bochum,LWL-Universitätsklinik Hamm der Ruhr-Universität Bochum,Heithofer Allee,64,59071,"Hamm, Westfalen","Heithofer Allee 64 59071 Hamm, Westfalen Germany"
05,915,St. Barbara-Klinik Hamm GmbH,St. Barbara Klinik Hamm-Heessen,Am Heessener Wald,1,59073,"Hamm, Westfalen","Am Heessener Wald 1 59073 Hamm, Westfalen Germany"
05,915,St. Marien-Hospital Hamm,Standort Knappenstraße,Knappenstraße,19,59071,"Hamm, Westfalen","Knappenstraße 19 59071 Hamm, Westfalen Germany"
05,915,St. Marien-Hospital Hamm,Standort Nassauerstraße,Nassauerstraße,13-19,59065,"Hamm, Westfalen","Nassauerstraße 13-19 59065 Hamm, Westfalen Germany"
05,916,Evangelisches Krankenhaus Herne,Herne-Eickel,Hordeler Str.,7-9,44651,"Herne, Westfalen","Hordeler Str. 7-9 44651 Herne, Westfalen Germany"
05,916,Evangelisches Krankenhaus Herne,Herne-Mitte,Wiescherstraße,24,44623,"Herne, Westfalen","Wiescherstraße 24 44623 Herne, Westfalen Germany"
05,916,LWL-Klinik Marl-Sinsen Marl,Tagesklink  Herne der LWL-Klinik Marl-Sinsen - Haardklinik - Kinder- und Jugendpsychiatrie - Psychotherapie - Psychosomatik,Ludwigstr.,14,44649,"Herne, Westfalen","Ludwigstr. 14 44649 Herne, Westfalen Germany"
05,916,Marien Hospital Herne-Universitätsklinikum der Ruhr-Universität Bochum,Marien Hospital Herne-Universitätsklinikum der Ruhr-Universität Bochum,Hölkeskampring,40,44625,"Herne, Westfalen","Hölkeskampring 40 44625 Herne, Westfalen Germany"
05,916,Rheumazentrum Ruhrgebiet,Rheumazentrum Ruhrgebiet - Hauptstandort,Claudiusstr.,45,44649,"Herne, Westfalen","Claudiusstr. 45 44649 Herne, Westfalen Germany"
05,916,St. Anna-Hospital,St. Anna-Hospital - Hauptstandort,Hospitalstraße,19,44649,"Herne, Westfalen","Hospitalstraße 19 44649 Herne, Westfalen Germany"
05,916,St. Marien Hospital Eickel,St. Marien Hospital Eickel,Marienstr.,2,44651,"Herne, Westfalen","Marienstr. 2 44651 Herne, Westfalen Germany"
05,954,Fliedner Klinik Gevelsberg,Fliedner Klinik Gevelsberg Tagesklinik,Sudfeldstr.,1,58285,Gevelsberg,Sudfeldstr. 1 58285 Gevelsberg Germany
05,954,Augusta-Kranken-Anstalt gGmbH,Evangelisches Krankenhaus Hattingen,Bredenscheider Straße,54,45525,"Hattingen, Ruhr","Bredenscheider Straße 54 45525 Hattingen, Ruhr Germany"
05,954,Katholische Kliniken Ruhrhalbinsel,St. Elisabeth-Krankenhaus Niederwenigern,Essener Straße,31,45529,"Hattingen, Ruhr","Essener Straße 31 45529 Hattingen, Ruhr Germany"
05,954,Katholisches Klinikum Bochum gGmbH,Standort BL - Klinik Blankenstein,Im Vogelsang,5-11,45527,"Hattingen, Ruhr","Im Vogelsang 5-11 45527 Hattingen, Ruhr Germany"
05,954,Gemeinschaftskrankenhaus Herdecke,Gemeinschaftskrankenhaus Herdecke - Hauptstandort,Gerhard-Kienle-Weg,4,58313,"Herdecke, Ruhr","Gerhard-Kienle-Weg 4 58313 Herdecke, Ruhr Germany"
05,954,Helios Klinikum Schwelm GmbH,Helios Klinikum Schwelm,Dr.-Moeller-Straße,15,58332,Schwelm,Dr.-Moeller-Straße 15 58332 Schwelm Germany
05,954,Orthopädische Klinik Volmarstein,Orthopädische Klinik Volmarstein,Lothar-Gau-Straße,11,58300,Wetter (Ruhr),Lothar-Gau-Straße 11 58300 Wetter (Ruhr) Germany
05,954,Evangelisches Krankenhaus Witten gGmbH,Evangelisches Krankenhaus Witten gGmbH,Pferdebachstraße,27,58455,Witten,Pferdebachstraße 27 58455 Witten Germany
05,954,Gemeinschaftskrankenhaus Herdecke,Gemeinschaftskrankenhaus Tagesklinik Witten,Pferdebachstraße,51,58455,Witten,Pferdebachstraße 51 58455 Witten Germany
05,954,Marien Hospital Witten,Marien Hospital Witten,Marienplatz,2,58452,Witten,Marienplatz 2 58452 Witten Germany
05,958,Klinikum Hochsauerland GmbH,Marienhospital Arnsberg,Nordring,37-41,59821,"Arnsberg, Westfalen","Nordring 37-41 59821 Arnsberg, Westfalen Germany"
05,958,Klinikum Hochsauerland GmbH,St. Johannes-Hospital,Springufer,7,59755,"Arnsberg, Westfalen","Springufer 7 59755 Arnsberg, Westfalen Germany"
05,958,Klinikum Hochsauerland GmbH,Karolinen-Hospital,Stolte Ley,5,59759,"Arnsberg, Westfalen","Stolte Ley 5 59759 Arnsberg, Westfalen Germany"
05,958,Städt. Krankenhaus Maria-Hilf Brilon gGmbH,Städt. Krankenhaus Maria-Hilf Brilon gGmbH,Am Schönschede,1,59929,Brilon,Am Schönschede 1 59929 Brilon Germany
05,958,LWL-Klinik Marsberg,Bredelarer Straße 33 (KKJPP),Bredelarer Straße,33,34431,"Marsberg, Sauerland","Bredelarer Straße 33 34431 Marsberg, Sauerland Germany"
05,958,LWL-Klinik Marsberg,LWL-Klinik Marsberg,Weist,45,34431,"Marsberg, Sauerland","Weist 45 34431 Marsberg, Sauerland Germany"
05,958,St.-Marien-Hospital Marsberg,St.-Marien-Hospital Marsberg,Marienstraße,2,34431,"Marsberg, Sauerland","Marienstraße 2 34431 Marsberg, Sauerland Germany"
05,958,Klinikum Hochsauerland GmbH,St. Walburga-Krankenhaus,Schederweg,12,59870,Meschede,Schederweg 12 59870 Meschede Germany
05,958,LWL-Klinik Marsberg,TK Meschede,Feldstraße,1,59872,Meschede,Feldstraße 1 59872 Meschede Germany
05,958,LWL-Klinik Marsberg,LWL Tagesklinik Meschede,Winziger Platz,10,59872,Meschede,Winziger Platz 10 59872 Meschede Germany
05,958,Elisabeth-Klinik gGmbH,Elisabeth-Klinik Bigge,Heinrich-Sommer-Straße,4,59939,Olsberg,Heinrich-Sommer-Straße 4 59939 Olsberg Germany
05,958,Fachkrankenhaus Kloster Grafschaft GmbH,Fachkrankenhaus Kloster Grafschaft GmbH,Annostraße,1,57392,Schmallenberg,Annostraße 1 57392 Schmallenberg Germany
05,958,LWL-Klinik Marsberg,LWL Tagesklinik Schmallenberg - Bad Fredeburg,Von-Ascheberg-Straße,19a,57392,Schmallenberg,Von-Ascheberg-Straße 19a 57392 Schmallenberg Germany
05,958,Neurologische Klinik Sorpesee GmbH & Co. KG,Neurologische Klinik Sorpesee GmbH & Co. KG,Lindenstraße,22,59846,Sundern (Sauerland),Lindenstraße 22 59846 Sundern (Sauerland) Germany
05,958,Sauerlandklinik Hachen,Sauerlandklinik Hachen,Siepenstraße,44,59846,Sundern (Sauerland),Siepenstraße 44 59846 Sundern (Sauerland) Germany
05,958,St. Franziskus-Hospital gGmbH Winterberg,St. Franziskus-Hospital Winterberg gGmbH,Franziskusstraße,2,59955,"Winterberg, Westfalen","Franziskusstraße 2 59955 Winterberg, Westfalen Germany"
05,962,DGD Stadtklinik Hemer gGmbH,DGD Stadtklinik Hemer gGmbH,Breddestraße,22,58675,Hemer,Breddestraße 22 58675 Hemer Germany
05,962,Lungenklinik Hemer,Lungenklinik Hemer,Theo-Funccius-Straße,1,58675,Hemer,Theo-Funccius-Straße 1 58675 Hemer Germany
05,962,"LWL-Klinik Hemer, Hans-Prinzhorn-Klinik","LWL-Klinik Hemer, Hans-Prinzhorn-Klinik",Frönsberger Straße,71,58675,Hemer,Frönsberger Straße 71 58675 Hemer Germany
05,962,AGAPLESION Ev. Krankenhaus Bethanien Iserlohn gGmbH,AGAPLESION Ev. Krankenhaus Bethanien Iserlohn gGmbH,Bethanienallee,3,58644,Iserlohn,Bethanienallee 3 58644 Iserlohn Germany
05,962,"Katholische Kliniken im Märkischen Kreis, Iserlohn",St.  Elisabeth-Hospital,Hochstraße,63,58638,Iserlohn,Hochstraße 63 58638 Iserlohn Germany
05,962,"LWL-Klinik Hemer, Hans-Prinzhorn-Klinik",LWL-Tagesklinik Iserlohn - Allg. Psychiatrie/Tagesklinik Gerontopsychiatrie,Hardtstraße,47,58644,Iserlohn,Hardtstraße 47 58644 Iserlohn Germany
05,962,Berglandklinik Lüdenscheid GmbH & Co. KG,Berglandklinik Lüdenscheid GmbH & Co. KG,Am Hundebrink,6,58511,Lüdenscheid,Am Hundebrink 6 58511 Lüdenscheid Germany
05,962,Klinikum Lüdenscheid,Klinikum Lüdenscheid,Paulmannshöher Straße,14,58515,Lüdenscheid,Paulmannshöher Straße 14 58515 Lüdenscheid Germany
05,962,Sportklinik Hellersen,Sportklinik Hellersen,Paulmannshöher Str.,17,58515,Lüdenscheid,Paulmannshöher Str. 17 58515 Lüdenscheid Germany
05,962,"Katholische Kliniken im Märkischen Kreis, Iserlohn",St. Vincenz Krankenhaus,Am Stein,24,58706,Menden,Am Stein 24 58706 Menden Germany
05,962,"LWL-Klinik Hemer, Hans-Prinzhorn-Klinik",LWL-Tagesklinik Plettenberg,Bahnhofstraße,111,58840,Plettenberg,Bahnhofstraße 111 58840 Plettenberg Germany
05,962,radprax Krankenhaus Plettenberg GmbH,radprax Krankenhaus Plettenberg GmbH,Ernst-Moritz-Arndt-Str.,17,58840,Plettenberg,Ernst-Moritz-Arndt-Str. 17 58840 Plettenberg Germany
05,962,Stadtklinik Werdohl,Stadtklinik Werdohl,Schulstraße,25,58791,Werdohl,Schulstraße 25 58791 Werdohl Germany
05,966,Helios Klinik Attendorn,Helios Klinik Attendorn,Hohler Weg,9,57439,Attendorn,Hohler Weg 9 57439 Attendorn Germany
