land,kreis,name,zusatz,strasse,hausnr,plz,ort,address
05,111,Ev. Krankenhaus Düsseldorf,Ev. Krankenhaus Düsseldorf,Kirchfeldstraße,40,40217,Düsseldorf,Kirchfeldstraße 40 40217 Düsseldorf Germany
05,111,Fliedner Klinik Düsseldorf,Fliedner Klinik Düsseldorf - Ambulanz und Tagesklinik,Martin-Luther-Platz,26,40212,Düsseldorf,Martin-Luther-Platz 26 40212 Düsseldorf Germany
05,111,Florence-Nightingale-Krankenhaus,Florence-Nightingale-Krankenhaus,Kreuzbergstraße,79,40489,Düsseldorf,Kreuzbergstraße 79 40489 Düsseldorf Germany
05,111,Johanniter Tagesklinik Düsseldorf gGmbH  Klinik für Psychiatrie und Psychotherapie,Johanniter Tagesklinik Düsseldorf gGmbH   Klinik für Psychiatrie und Psychotherapie,Marbacher Str.,79-81,40597,Düsseldorf,Marbacher Str. 79-81 40597 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Geriatrisches Krankenhaus Elbroich,Am Falder,6,40589,Düsseldorf,Am Falder 6 40589 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Augusta-Krankenhaus,Amalienstraße,9,40472,Düsseldorf,Amalienstraße 9 40472 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,Gesundheits- und Therapie-Centrum,Hohensandweg,37,40591,Düsseldorf,Hohensandweg 37 40591 Düsseldorf Germany
05,111,Krankenhaus Mörsenbroich-Rath GmbH,St. Vinzenz - Krankenhaus,Schloßstraße,85,40477,Düsseldorf,Schloßstraße 85 40477 Düsseldorf Germany
05,111,Luisenkrankenhaus GmbH & Co. KG,Luisenkrankenhaus GmbH & Co. KG,Luise-Rainer-Straße,6-10,40235,Düsseldorf,Luise-Rainer-Straße 6-10 40235 Düsseldorf Germany
05,111,LVR-Klinikum Düsseldorf,"Bergische Landstraße 2, 40629 Düsseldorf",Bergische Landstraße,2,40629,Düsseldorf,Bergische Landstraße 2 40629 Düsseldorf Germany
05,111,LVR-Klinikum Düsseldorf,LVR-Tagesklinik,Moorenstraße,5,40225,Düsseldorf,Moorenstraße 5 40225 Düsseldorf Germany
05,111,Marien Hospital Düsseldorf GmbH,Marien Hospital Düsseldorf,Rochusstraße,2,40479,Düsseldorf,Rochusstraße 2 40479 Düsseldorf Germany
05,111,Paracelsus Klinik Golzheim,Paracelsus Klinik Golzheim,Friedrich-Lau-Straße,11,40474,Düsseldorf,Friedrich-Lau-Straße 11 40474 Düsseldorf Germany
05,111,Sana Kliniken Düsseldorf,Sana Krankenhaus Gerresheim,Gräulinger Straße,120,40625,Düsseldorf,Gräulinger Straße 120 40625 Düsseldorf Germany
05,111,Sana Kliniken Düsseldorf,Sana Krankenhaus Benrath,Urdenbacher Allee,83,40593,Düsseldorf,Urdenbacher Allee 83 40593 Düsseldorf Germany
05,111,Schön Klinik Düsseldorf SE & Co. KG,Schön Klinik Düsseldorf SE & Co. KG,Am Heerdter Krankenhaus,2,40549,Düsseldorf,Am Heerdter Krankenhaus 2 40549 Düsseldorf Germany
05,111,St. Martinus-Krankenhaus Düsseldorf,St. Martinus-Krankenhaus Düsseldorf,Gladbacher Straße,26,40219,Düsseldorf,Gladbacher Straße 26 40219 Düsseldorf Germany
05,111,Universitätsklinikum Düsseldorf,Universitätsklinikum Düsseldorf,Moorenstraße,5,40225,Düsseldorf,Moorenstraße 5 40225 Düsseldorf Germany
05,112,BG Klinikum Duisburg gGmbH,BG Klinikum Duisburg gGmbH,Großenbaumer Allee,250,47249,Duisburg,Großenbaumer Allee 250 47249 Duisburg Germany
05,112,Evangelische Klinikum Niederrhein gGmbH,Evangelisches Krankenhaus Duisburg-Nord,Fahrner Str.,133,47169,Duisburg,Fahrner Str. 133 47169 Duisburg Germany
05,112,Evangelische Klinikum Niederrhein gGmbH,Herzzentrum Duisburg,Gerrickstr.,21,47137,Duisburg,Gerrickstr. 21 47137 Duisburg Germany
05,112,Evangelisches Krankenhaus BETHESDA zu Duisburg GmbH,Ev. Krankenhaus BETHESDA zu Duisburg,Heerstr.,219,47053,Duisburg,Heerstr. 219 47053 Duisburg Germany
05,112,GFO Kliniken Niederrhein,Fachklinik St. Camillus,Kirchstr.,12,47178,Duisburg,Kirchstr. 12 47178 Duisburg Germany
05,112,Helios Klinikum Duisburg,Helios St. Johannes Klinik,Dieselstr.,185,47166,Duisburg,Dieselstr. 185 47166 Duisburg Germany
05,112,Helios Klinikum Duisburg,Helios Marien Klinik,Grunewaldstr.,96,47053,Duisburg,Grunewaldstr. 96 47053 Duisburg Germany
05,112,Helios Rhein-Ruhr Klinikum Duisburg,Helios Krankenhaus St. Anna,Albertus-Magnus-Str.,33,47259,Duisburg,Albertus-Magnus-Str. 33 47259 Duisburg Germany
05,112,Helios Rhein-Ruhr Klinikum Duisburg,Helios Klinik Duisburg-Homberg,Johannisstr.,21,47198,Duisburg,Johannisstr. 21 47198 Duisburg Germany
05,112,Johanniter-Krankenhaus Rheinhausen,Johanniter-Krankenhaus Rheinhausen,Kreuzacker,1-7,47228,Duisburg,Kreuzacker 1-7 47228 Duisburg Germany
05,112,Sana Kliniken Duisburg GmbH,Bertha-Krankenhaus,Maiblumenstr.,7,47229,Duisburg,Maiblumenstr. 7 47229 Duisburg Germany
05,112,Sana Kliniken Duisburg GmbH,Wedau-Kliniken,Zu den Rehwiesen,9-11,47055,Duisburg,Zu den Rehwiesen 9-11 47055 Duisburg Germany
05,112,Universitätsklinikum Essen,Klinik für Nuklearmedizin am Bethesda Krankenhaus Duisburg - Stationäre Behandlung,Heerstraße,219,47053,Duisburg,Heerstraße 219 47053 Duisburg Germany
05,113,Alfried Krupp Krankenhaus Essen-Steele,Alfried Krupp Krankenhaus Essen-Steele,Hellweg,100,45276,"Essen, Ruhr","Hellweg 100 45276 Essen, Ruhr Germany"
05,113,Alfried Krupp Krankenhaus Rüttenscheid,Alfried Krupp Krankenhaus Essen-Rüttenscheid,Alfried-Krupp-Str.,21,45131,"Essen, Ruhr","Alfried-Krupp-Str. 21 45131 Essen, Ruhr Germany"
05,113,Elisabeth-Krankenhaus Essen GmbH,Elisabeth-Krankenhaus Essen,Klara-Kopp-Weg,1,45138,"Essen, Ruhr","Klara-Kopp-Weg 1 45138 Essen, Ruhr Germany"
05,113,Katholische Kliniken Ruhrhalbinsel,St. Josef-Krankenhaus Kupferdreh - Hauptstandort,Heidbergweg,22-24,45257,"Essen, Ruhr","Heidbergweg 22-24 45257 Essen, Ruhr Germany"
05,113,Katholische Kliniken Ruhrhalbinsel,Fachklinik Kamillushaus Heidhausen,Heidhauser Str.,273,45239,"Essen, Ruhr","Heidhauser Str. 273 45239 Essen, Ruhr Germany"
05,113,KEM - Evang. Kliniken Essen-Mitte gGmbH,Evang. Krankenhaus Essen-Steele,Am Deimelsberg,34a,45276,"Essen, Ruhr","Am Deimelsberg 34a 45276 Essen, Ruhr Germany"
05,113,KEM - Evang. Kliniken Essen-Mitte gGmbH,Evang. Huyssens-Stiftung in Essen-Huttrop,Henricistr.,92,45136,"Essen, Ruhr","Henricistr. 92 45136 Essen, Ruhr Germany"
05,113,KEM - Evang. Kliniken Essen-Mitte gGmbH,Evang. Krankenhaus Essen-Werden,Pattbergstr.,1-3,45239,"Essen, Ruhr","Pattbergstr. 1-3 45239 Essen, Ruhr Germany"
05,113,LVR-Klinikum Essen,LVR-Tagesklinik,Overbergstraße,27,45141,"Essen, Ruhr","Overbergstraße 27 45141 Essen, Ruhr Germany"
05,113,LVR-Klinikum Essen,"Virchowstraße 174, 45147 Essen",Virchowstraße,174,45147,"Essen, Ruhr","Virchowstraße 174 45147 Essen, Ruhr Germany"
05,113,LVR-Klinikum Essen,"Wickenburgstraße 21, 45147 Essen",Wickenburgstraße,21,45147,"Essen, Ruhr","Wickenburgstraße 21 45147 Essen, Ruhr Germany"
05,113,Philippusstift Essen GmbH,Tagesklinik Düppenberg,Flurstr.,19,45355,"Essen, Ruhr","Flurstr. 19 45355 Essen, Ruhr Germany"
05,113,Philippusstift Essen GmbH,Philippusstift,Hülsmannstr.,17,45355,"Essen, Ruhr","Hülsmannstr. 17 45355 Essen, Ruhr Germany"
05,113,Procelsio Clinic,Procelsio Clinic,Girardetstr.,8,45131,"Essen, Ruhr","Girardetstr. 8 45131 Essen, Ruhr Germany"
05,113,"Ruhrlandklinik, Westdeutsches Lungenzentrum am Universitätsklinikum Essen gGmbH","Ruhrlandklinik, Westdeutsches Lungenzentrum am Universitätsklinikum Essen gGmbH",Tüschener Weg,40,45239,"Essen, Ruhr","Tüschener Weg 40 45239 Essen, Ruhr Germany"
05,113,St. Josef Krankenhaus Essen-Werden GmbH,St. Josef Krankenhaus Essen-Werden GmbH,Propsteistr.,2,45239,"Essen, Ruhr","Propsteistr. 2 45239 Essen, Ruhr Germany"
05,113,Universitätsklinikum Essen,Herzzentrum Essen-Huttrop gGmbH,Herwarthstr.,100,45138,"Essen, Ruhr","Herwarthstr. 100 45138 Essen, Ruhr Germany"
05,113,Universitätsklinikum Essen,Hauptstandort,Hufelandstr.,55,45147,"Essen, Ruhr","Hufelandstr. 55 45147 Essen, Ruhr Germany"
05,114,Helios Klinikum Krefeld GmbH,Helios Cäcilien Hospital Hüls,Fette Henn,50,47839,Krefeld,Fette Henn 50 47839 Krefeld Germany
05,114,Helios Klinikum Krefeld GmbH,Helios St. Josefshospital,Kurfürstenstraße,69,47829,Krefeld,Kurfürstenstraße 69 47829 Krefeld Germany
05,114,Helios Klinikum Krefeld GmbH,Helios Klinikum Krefeld,Lutherplatz,40,47805,Krefeld,Lutherplatz 40 47805 Krefeld Germany
05,114,Klinik Königshof Krefeld,Klinik Königshof,Am Dreifaltigkeitskloster,16,47807,Krefeld,Am Dreifaltigkeitskloster 16 47807 Krefeld Germany
05,114,Klinik Königshof Krefeld,Tagesklinik Klinik Königshof am Helios Hüls,Fette Henn,50,47839,Krefeld,Fette Henn 50 47839 Krefeld Germany
05,114,Klinik Königshof Krefeld,Tagesklinik Klinik Königshof am Helios Krefeld,Melanchthonstraße,36,47805,Krefeld,Melanchthonstraße 36 47805 Krefeld Germany
05,114,Krankenhaus Maria-Hilf Krefeld,Krankenhaus Maria-Hilf Krefeld,Dießemer Bruch,81,47805,Krefeld,Dießemer Bruch 81 47805 Krefeld Germany
05,114,LVR-Klinik Viersen,"Tagesklinik - Vom-Bruck-Platz 8, 47805 Krefeld",Vom-Bruck-Platz,8,47805,Krefeld,Vom-Bruck-Platz 8 47805 Krefeld Germany
05,116,"Johanniter GmbH, Ev. Krankenhaus Bethesda Mönchengladbach",Ev. Krankenhaus Bethesda Mönchengladbach,Ludwig-Weber-Straße,15,41061,Mönchengladbach,Ludwig-Weber-Straße 15 41061 Mönchengladbach Germany
05,116,Kliniken Maria Hilf GmbH,Kliniken Maria Hilf GmbH,Viersener Straße,450,41063,Mönchengladbach,Viersener Straße 450 41063 Mönchengladbach Germany
05,116,"Krankenhaus Neuwerk gGmbH, Mönchengladbach","Krankenhaus Neuwerk gGmbH, Mönchengladbach",Dünner Straße,214,41066,Mönchengladbach,Dünner Straße 214 41066 Mönchengladbach Germany
05,116,LVR-Klinik Mönchengladbach,"Heinrich-Pesch-Straße 39-41, 41239 Mönchengladbach",Heinrich-Pesch-Straße,39-41,41239,Mönchengladbach,Heinrich-Pesch-Straße 39-41 41239 Mönchengladbach Germany
05,116,LVR-Klinik Mönchengladbach,"Tagesklinik - Regentenstraße 91, 41061 Mönchengladbach",Regentenstraße,91,41061,Mönchengladbach,Regentenstraße 91 41061 Mönchengladbach Germany
05,116,LVR-Klinik Viersen,"Tagesklinik - Mathildenstraße 67, 41239 Mönchengladbach",Mathildenstraße,67,41239,Mönchengladbach,Mathildenstraße 67 41239 Mönchengladbach Germany
05,116,Städtische Kliniken Mönchengladbach GmbH - Elisabeth-Krankenhaus Rheydt,Städtische Kliniken Mönchengladbach GmbH - Elisabeth-Krankenhaus Rheydt,Hubertusstraße,100,41239,Mönchengladbach,Hubertusstraße 100 41239 Mönchengladbach Germany
05,117,Ev. Krankenhaus Mülheim GmbH,Evangelisches Krankenhaus Mülheim GmbH,Wertgasse,30,45468,Mülheim an der Ruhr,Wertgasse 30 45468 Mülheim an der Ruhr Germany
05,117,LVR-Klinikum Essen,LVR-Tagesklinik,Düsseldorfer Straße,136-138,45481,Mülheim an der Ruhr,Düsseldorfer Straße 136-138 45481 Mülheim an der Ruhr Germany
05,117,St. Marien-Hospital Mülheim an der Ruhr GmbH,St. Marien-Hospital Mülheim an der Ruhr GmbH-Hauptstandort,Kaiserstraße,50,45468,Mülheim an der Ruhr,Kaiserstraße 50 45468 Mülheim an der Ruhr Germany
05,119,AMEOS Krankenhausgesellschaft Oberhausen mbH,AMEOS Klinikum St. Josef Oberhausen,Mülheimer Str.,83,46045,"Oberhausen, Rheinland","Mülheimer Str. 83 46045 Oberhausen, Rheinland Germany"
05,119,AMEOS Krankenhausgesellschaft Oberhausen mbH,AMEOS Klinikum St. Marien Oberhausen,Nürnberger Str.,10,46119,"Oberhausen, Rheinland","Nürnberger Str. 10 46119 Oberhausen, Rheinland Germany"
05,119,AMEOS Krankenhausgesellschaft Oberhausen mbH,AMEOS Klinikum St. Clemens Oberhausen,Wilhelmstr.,34,46145,"Oberhausen, Rheinland","Wilhelmstr. 34 46145 Oberhausen, Rheinland Germany"
05,119,Ev. Krankenhaus Oberhausen GmbH,Evangelisches Krankenhaus Oberhausen GmbH,Virchowstr.,20,46047,"Oberhausen, Rheinland","Virchowstr. 20 46047 Oberhausen, Rheinland Germany"
05,119,Evangelische Klinikum Niederrhein gGmbH,Johanniter Krankenhaus Oberhausen,Steinbrinkstr.,96a,46145,"Oberhausen, Rheinland","Steinbrinkstr. 96a 46145 Oberhausen, Rheinland Germany"
05,119,Helios St. Elisabeth Klinik Oberhausen,Helios St. Elisabeth Klinik Oberhausen,Josefstr.,3,46045,"Oberhausen, Rheinland","Josefstr. 3 46045 Oberhausen, Rheinland Germany"
05,120,Evangelische Stiftung Tannenhof,Psychiatrische Tagesklinik Remscheid,Konrad-Adenauer-Straße,2,42853,Remscheid,Konrad-Adenauer-Straße 2 42853 Remscheid Germany
05,120,Evangelische Stiftung Tannenhof,"Klinik für Psychiatrie, Psychotherapie, Psychosomatik, Gerontopsychiatrie, Suchtmedizin und Neurologie",Remscheider Straße,76,42899,Remscheid,Remscheider Straße 76 42899 Remscheid Germany
05,120,Sana Fabricius-Klinik Remscheid GmbH,Sana Fabricius-Klinik Remscheid GmbH,Brüderstrasse,65,42853,Remscheid,Brüderstrasse 65 42853 Remscheid Germany
05,120,Sana-Klinikum Remscheid GmbH,Sana-Klinikum Remscheid GmbH,Burger Straße,211,42859,Remscheid,Burger Straße 211 42859 Remscheid Germany
05,122,Krankenhaus Bethanien,Krankenhaus Bethanien,Aufderhöher Straße,169,42699,Solingen,Aufderhöher Straße 169 42699 Solingen Germany
05,122,LVR-Klinik Langenfeld,"Frankenstraße 31a, 42653 Solingen",Frankenstraße,31a,42653,Solingen,Frankenstraße 31a 42653 Solingen Germany
05,122,Psychiatrische Tagesklinik Solingen,Psychiatrische Tagesklinik Solingen,Eichenstraße,105-109,42659,Solingen,Eichenstraße 105-109 42659 Solingen Germany
05,122,St. Lukas Klinik,Standort St. Lukas Klinik,Schwanenstraße,132,42697,Solingen,Schwanenstraße 132 42697 Solingen Germany
05,122,Städtisches Klinikum Solingen gGmbH,Städtisches Klinikum Solingen gGmbH,Gotenstraße,1,42653,Solingen,Gotenstraße 1 42653 Solingen Germany
05,124,AGAPLESION Bethesda Krankenhaus Wuppertal,AGAPLESION Bethesda Krankenhaus Wuppertal,Hainstr.,35,42109,Wuppertal,Hainstr. 35 42109 Wuppertal Germany
05,124,Evangelische Stiftung Tannenhof,Psychiatrische Tagesklinik Wuppertal-Elberfeld,Hofkamp,31-35,42103,Wuppertal,Hofkamp 31-35 42103 Wuppertal Germany
05,124,Evangelische Stiftung Tannenhof,Psychiatrische Tagesklinik Wuppertal-Barmen,Märkische Straße,8,42281,Wuppertal,Märkische Straße 8 42281 Wuppertal Germany
05,124,Evangelische Stiftung Tannenhof,Psychiatrische Klinik Wuppertal,Sanderstraße,161,42283,Wuppertal,Sanderstraße 161 42283 Wuppertal Germany
05,124,Evangelische Stiftung Tannenhof,Psychiatrische und Gerontopsychiatrische Tageskliniken Wuppertal-Elberfeld,Wesendonkstraße,7,42103,Wuppertal,Wesendonkstraße 7 42103 Wuppertal Germany
05,124,Helios Klinikum Wuppertal,"Helios Klinikum Wuppertal, Standort Elberfeld",Arrenberger Straße,20,42117,Wuppertal,Arrenberger Straße 20 42117 Wuppertal Germany
05,124,Helios Klinikum Wuppertal,"Helios Klinikum Wuppertal, Standort Barmen",Heusnerstraße,40,42283,Wuppertal,Heusnerstraße 40 42283 Wuppertal Germany
05,124,Helios Klinikum Wuppertal,Helios Klinik Bergisch Land,Im Saalscheid,5,42369,Wuppertal,Im Saalscheid 5 42369 Wuppertal Germany
05,124,Klinikverbund St. Antonius und St. Josef GmbH,Krankenhaus St. Josef,Bergstr.,6 -12,42105,Wuppertal,Bergstr. 6 -12 42105 Wuppertal Germany
05,124,Klinikverbund St. Antonius und St. Josef GmbH,Petrus-Krankenhaus,Carnaper Str.,48,42283,Wuppertal,Carnaper Str. 48 42283 Wuppertal Germany
05,124,Sana-Klinikum Remscheid GmbH,ZSG Tagesklinik Wuppertal,Weststraße,103,42119,Wuppertal,Weststraße 103 42119 Wuppertal Germany
05,154,LVR-Klinik Bedburg-Hau,"Bahnstraße 6, 47551 Bedburg-Hau",Bahnstraße,6,47551,Bedburg-Hau,Bahnstraße 6 47551 Bedburg-Hau Germany
05,154,St. Willibrord-Spital Emmerich-Rees gGmbH,St. Willibrord-Spital Emmerich-Rees gGmbH,Willibrordstraße,9,46446,Emmerich am Rhein,Willibrordstraße 9 46446 Emmerich am Rhein Germany
05,154,LVR-Klinik Bedburg-Hau,LVR-Tagesklinik,Fürstenberger Straße,1,47608,Geldern,Fürstenberger Straße 1 47608 Geldern Germany
05,154,St.-Clemens-Hospital Geldern,St.-Clemens-Hospital,Clemensstraße,6,47608,Geldern,Clemensstraße 6 47608 Geldern Germany
05,154,Standort Wilhelm-Anton-Hospital Goch,Standort Wilhelm-Anton-Hospital Goch,Voßheider Str.,214,47574,Goch,Voßheider Str. 214 47574 Goch Germany
05,154,Katholischen Karl-Leisner Klinikum gGmbH,St. Nikolaus-Hospital Kalkar,Grabenstraße,66-88,47546,"Kalkar, Niederrhein","Grabenstraße 66-88 47546 Kalkar, Niederrhein Germany"
05,154,Standort Marienhospital Kevelaer,Standort Marienhospital Kevelaer,Basilikastr.,55,47623,Kevelaer,Basilikastr. 55 47623 Kevelaer Germany
05,154,LVR-Klinik Bedburg-Hau,"Nassauerallee 93-97, 47533 Kleve",Nassauerallee,93-97,47533,"Kleve, Niederrhein","Nassauerallee 93-97 47533 Kleve, Niederrhein Germany"
05,154,Standort St.-Antonius Hospital Kleve,Standort St.-Antonius Hospital Kleve,Albersallee,5-7,47533,"Kleve, Niederrhein","Albersallee 5-7 47533 Kleve, Niederrhein Germany"
05,158,St. Josef Krankenhaus Haan,St. Josef Krankenhaus Haan,Robert-Koch-Straße,16,42781,"Haan, Rheinland","Robert-Koch-Straße 16 42781 Haan, Rheinland Germany"
05,158,Helios Klinikum Niederberg,Tagesklinik,Südring,161,42579,Heiligenhaus,Südring 161 42579 Heiligenhaus Germany
05,158,Bergman Clinics Klinik im Park,Bergman Clinics Klinik im Park,Hagelkreuzstraße,37,40721,Hilden,Hagelkreuzstraße 37 40721 Hilden Germany
05,158,LVR-Klinik Langenfeld,LVR-Tagesklinik,Am Holterhöfchen,4,40724,Hilden,Am Holterhöfchen 4 40724 Hilden Germany
05,158,LVR-Klinikum Düsseldorf,LVR-Tagesklinik,Walder Straße,34-38,40724,Hilden,Walder Straße 34-38 40724 Hilden Germany
05,158,St. Josefs Krankenhaus Hilden,St. Josefs Krankenhaus Hilden,Walder Straße,34-38,40724,Hilden,Walder Straße 34-38 40724 Hilden Germany
05,158,GFO Klinik Langenfeld,St. Martinus Krankenhaus,Klosterstraße,32,40764,Langenfeld (Rheinland),Klosterstraße 32 40764 Langenfeld (Rheinland) Germany
05,158,LVR-Klinik Langenfeld,"Kölner Straße 82, 40764 Langenfeld",Kölner Straße,82,40764,Langenfeld (Rheinland),Kölner Straße 82 40764 Langenfeld (Rheinland) Germany
05,158,LVR-Klinik Langenfeld,LVR-Tagesklinik,Lessingstraße,1a,40764,Langenfeld (Rheinland),Lessingstraße 1a 40764 Langenfeld (Rheinland) Germany
05,158,Ev. Krankenhaus Mettmann GmbH,Ev. Krankenhaus Mettmann,Gartenstraße,4-8,40822,Mettmann,Gartenstraße 4-8 40822 Mettmann Germany
05,158,Fachklinik 360° GmbH,Fachklinik 360° GmbH,Rosenstraße,2,40882,Ratingen,Rosenstraße 2 40882 Ratingen Germany
05,158,Fliedner Krankenhaus Ratingen,Fliedner Krankenhaus Ratingen,Thunesweg,58,40885,Ratingen,Thunesweg 58 40885 Ratingen Germany
05,158,St. Marien-Krankenhaus Ratingen GmbH,St. Marien-Krankenhaus Ratingen GmbH,Werdener Straße,3,40878,Ratingen,Werdener Straße 3 40878 Ratingen Germany
05,158,Evangelische Stiftung Tannenhof,Psychiatrische Klinik Langenberg,Krankenhausstraße,17,42555,Velbert,Krankenhausstraße 17 42555 Velbert Germany
05,158,Helios Klinikum Niederberg,Helios Klinikum Niederberg,Robert-Koch-Straße,2,42549,Velbert,Robert-Koch-Straße 2 42549 Velbert Germany
05,158,HPZ Heilpädagogisch-Psychotherapeutisches Zentrum,HPZ Heilpädagogisch-Psychotherapeutisches Zentrum,Erfurthweg,28,42489,Wülfrath,Erfurthweg 28 42489 Wülfrath Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Luzia im Gesundheitszentrum am Augustinushaus,Krefelder Str.,82a,41539,Dormagen,Krefelder Str. 82a 41539 Dormagen Germany
05,162,Rheinland Klinikum,Rheinland Klinikum Dormagen,Dr.-Geldmacher-Straße,20,41540,Dormagen,Dr.-Geldmacher-Straße 20 41540 Dormagen Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Augustinus,Montanusstraße,54,41515,Grevenbroich,Montanusstraße 54 41515 Grevenbroich Germany
05,162,Rheinland Klinikum,Rheinland Klinikum Grevenbroich Elisabethkrankenhaus,Von-Werth-Straße,5,41515,Grevenbroich,Von-Werth-Straße 5 41515 Grevenbroich Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Fabiola,Hindenburgstraße,56,41352,Korschenbroich,Hindenburgstraße 56 41352 Korschenbroich Germany
05,162,Alexianer-Klinik Meerbusch gGmbH,Tagesklinik Meerbusch,Am Eisenbrand,20c,40667,Meerbusch,Am Eisenbrand 20c 40667 Meerbusch Germany
05,162,Mauritius Therapieklinik gGmbH,Mauritius Therapieklinik Meerbusch,Strümper Straße,111,40670,Meerbusch,Strümper Straße 111 40670 Meerbusch Germany
05,162,St. Elisabeth-Hospitalgesellschaft Niederrhein mbH,Hauptstandort,Hauptstraße,74,40668,Meerbusch,Hauptstraße 74 40668 Meerbusch Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Anna,Am Hasenberg,46,41462,Neuss,Am Hasenberg 46 41462 Neuss Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Bernhard,Berghäuschensweg,4,41464,Neuss,Berghäuschensweg 4 41464 Neuss Germany
05,162,Alexius/Josef Krankenhaus,Hauptstandort,Nordkanalallee,99,41464,Neuss,Nordkanalallee 99 41464 Neuss Germany
05,162,Alexius/Josef Krankenhaus,Tagesklinik St. Benedikt im Memory Zentrum,Steinhausstraße,40,41462,Neuss,Steinhausstraße 40 41462 Neuss Germany
05,162,Johanna-Etienne-Krankenhaus,Johanna-Etienne-Krankenhaus,Am Hasenberg,46,41462,Neuss,Am Hasenberg 46 41462 Neuss Germany
05,162,LVR-Klinik Viersen,"Tagesklinik - Preußenstraße 84, 41464 Neuss",Preußenstraße,84,41464,Neuss,Preußenstraße 84 41464 Neuss Germany
05,162,Rheinland Klinikum,Rheintor Klinik,Hafenstraße,68-76,41460,Neuss,Hafenstraße 68-76 41460 Neuss Germany
05,162,Rheinland Klinikum Neuss Lukaskrankenhaus,Lukaskrankenhaus Neuss,Preußenstraße,84,41464,Neuss,Preußenstraße 84 41464 Neuss Germany
05,166,Hospital zum Heiligen Geist Kempen,Hospital zum Heiligen Geist,Von-Broichhausen-Allee,1,47906,"Kempen, Niederrhein","Von-Broichhausen-Allee 1 47906 Kempen, Niederrhein Germany"
05,166,LVR-Klinik Viersen,"Tagesklinik - Von-Broichhausen-Allee 1, 47906 Kempen",Von-Broichhausen-Allee,1,47906,"Kempen, Niederrhein","Von-Broichhausen-Allee 1 47906 Kempen, Niederrhein Germany"
05,166,LVR-Klinik Viersen,"Tagesklinik - Sassenfelder Kirchweg 10, 41334 Nettetal",Sassenfelder Kirchweg,10,41334,Nettetal,Sassenfelder Kirchweg 10 41334 Nettetal Germany
05,166,Städtisches Krankenhaus Nettetal GmbH,Städtisches Krankenhaus Nettetal GmbH,Sassenfelder Kirchweg,1,41334,Nettetal,Sassenfelder Kirchweg 1 41334 Nettetal Germany
05,166,Allgemeines Krankenhaus Viersen GmbH,Allgemeines Krankenhaus Viersen GmbH,Hoserkirchweg,63,41747,Viersen,Hoserkirchweg 63 41747 Viersen Germany
05,166,LVR-Klinik für Orthopädie Viersen,LVR-Klinik für Orthopädie Viersen,Horionstraße,2,41749,Viersen,Horionstraße 2 41749 Viersen Germany
05,166,LVR-Klinik Mönchengladbach,"Johannisstraße 70, 41749 Viersen",Johannisstraße,70,41749,Viersen,Johannisstraße 70 41749 Viersen Germany
05,166,LVR-Klinik Viersen,"Johannisstraße 70, 41749 Viersen",Johannisstraße,70,41749,Viersen,Johannisstraße 70 41749 Viersen Germany
05,166,LVR-Klinik Viersen,"Süchtelner Straße 208, 41747 Viersen",Süchtelner Straße,208,41747,Viersen,Süchtelner Straße 208 41747 Viersen Germany
05,166,St. Irmgardis-Krankenhaus Süchteln GmbH,St. Irmgardis-Krankenhaus Süchteln,Tönisvorster Straße,26,41749,Viersen,Tönisvorster Straße 26 41749 Viersen Germany
05,170,Evangelische Klinikum Niederrhein gGmbH,Evangelisches Krankenhaus Dinslaken,Kreuzstr.,28,46535,Dinslaken,Kreuzstr. 28 46535 Dinslaken Germany
05,170,GFO Kliniken Niederrhein,St. Vinzenz-Hospital,Dr.-Otto-Seidel-Straße,31,46535,Dinslaken,Dr.-Otto-Seidel-Straße 31 46535 Dinslaken Germany
05,170,St. Bernhard-Hospital Kamp-Lintfort GmbH,St. Bernhard-Hospital Kamp-Lintfort GmbH,Bürgerm.-Schmelzing-Straße,90,47475,Kamp-Lintfort,Bürgerm.-Schmelzing-Straße 90 47475 Kamp-Lintfort Germany
05,170,Krankenhaus Bethanien Moers,Krankenhaus Bethanien Moers,Bethanienstraße,21,47441,Moers,Bethanienstraße 21 47441 Moers Germany
05,170,St. Josef Krankenhaus Moers,St. Josef Krankenhaus Moers,Asberger Straße,4,47441,Moers,Asberger Straße 4 47441 Moers Germany
05,170,St. Josef Krankenhaus Moers,St. Nikolaus Hospital Rheinberg,Orsoyer Straße,55,47495,Rheinberg,Orsoyer Straße 55 47495 Rheinberg Germany
05,170,Evangelisches Krankenhaus Wesel GmbH,Evangelisches Krankenhaus Wesel GmbH,Schermbecker Landstraße,88,46485,Wesel am Rhein,Schermbecker Landstraße 88 46485 Wesel am Rhein Germany
